Metabolite,Compound_ID_X01,Original_Metabolite_Name,HMDB_ID,Known_Compound,Included_X01,Included_Pilot,Included_MESA2,Assay,Known,cv_percent,n_pools,missing_exam_1,missing_exam_5,missing_exam_6,missing_all_exams
HILIC_QI05442,QI05442,NA,,0,1,1,1,HILIC,1,15.979755684217878,535,0.20392156862745098,0.36857866850956,0,0.21127786682208943
Amide_Keto.isocaproic.acid.KIC...Keto.methylvalerate.KMV,NA,Keto-isocaproic acid KIC / Keto-methylvalerate KMV,HMDB0000695,1,1,1,1,Amide,1,7.314446137950779,286,0.2352941176470588,0.18428933425478,0.0664451827242525,0.18213609208800816
C8_QI3298,QI3298,NA,,0,1,1,1,C8,0,53.38410514593475,514,0.2196078431372549,0.3916148352914075,0.23255813953488372,0.2768468599737724
C8_QI3934,QI3934,NA,,0,1,1,1,C8,0,18.43827007477609,514,0.3137254901960784,0.7601935038009675,0.19933554817275745,0.4298411773276992
HILIC_QI04484,QI04484,NA,,0,1,1,1,HILIC,1,5.547771386908448,535,0.39215686274509803,0.2073255010366275,0.4983388704318937,0.356986740492496
HILIC_QI07667,QI07667,NA,,0,1,1,1,HILIC,1,24.103234237045072,535,0.5019607843137255,0.64501266989173,1.3621262458471761,0.735829812035553
HILIC_Linoleoyl.EA,QI07188,Linoleoyl-EA,HMDB0012252,1,1,1,1,HILIC,1,22.998477221007168,529,0.4392156862745098,1.10573600552868,0.8637873754152824,0.7431152557190732
C8_QI3670,QI3670,NA,,0,1,1,1,C8,0,21.91962315391644,514,0.26666666666666666,0.46072333563695006,1.5946843853820596,0.6192627130992278
HILIC_QI06765,QI06765,NA,,0,1,1,1,HILIC,1,8.913591612417243,535,0.4235294117647058,0.6680488366735775,0.9634551495016611,0.6192627130992278
HILIC_QI10435,QI10435,NA,,0,1,1,1,HILIC,1,20.844762412380746,534,0.4549019607843137,0.6680488366735775,0.8637873754152824,0.6119772694157075
HILIC_QI03162,QI03162,NA,,0,1,1,1,HILIC,1,17.44954380920323,535,0.34509803921568627,0.6680488366735775,1.3953488372093024,0.6775462625673904
C8_QI9642,QI9642,NA,,0,1,1,1,C8,0,53.17500283591018,514,0.2352941176470588,61.045841971895875,76.64451827242524,36.223225994463064
C8_QI9262,QI9262,NA,,0,1,1,1,C8,0,29.18635874684857,514,0.2196078431372549,0.414651002073255,0.7308970099667774,0.3934139589100976
C8_QI2979,QI2979,NA,,0,1,1,1,C8,0,36.28723057662651,513,0.26666666666666666,0.5298318359824925,0.53156146179402,0.40798484627713827
HILIC_QI07128,QI07128,NA,,0,1,1,1,HILIC,1,15.930511947678056,535,0.3607843137254902,14.328495738309147,11.22923588039867,7.16159114090048
