Metabolite,PC1,Assay,Known,cv_percent,n_pools,missing_exam_1,missing_exam_5,missing_exam_6,missing_all_exams
C8_QI11635,-0.058764069799516816,C8,0,2.342600329164783,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI605,-0.05874462312689599,C8,0,2.041365591794281,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI620,-0.05833549621434007,C8,0,3.8127892870009346,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI12040,-0.058214071889127646,C8,0,5.45674734860482,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI320,-0.05815413453361354,C8,0,4.213243161739393,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI607,-0.057808140282051376,C8,0,3.4801541532925513,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11450,-0.05757851937965405,C8,0,4.079233923802329,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11274,-0.057512246653575315,C8,0,5.441282980517113,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI879,-0.057299991783960294,C8,0,5.880608943238559,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI2905,-0.057230229613659145,C8,0,3.9570941265079957,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_LPC.17.0.0.0,-0.05721119648325014,C8,1,2.9107582625661563,513,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11640,-0.05719891264198286,C8,0,5.039552110843943,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11962,-0.05711861744384312,C8,0,5.841044972616712,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11950,-0.05709490737953826,C8,0,4.290138869866165,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI699,-0.05708778644519928,C8,0,4.182422524697235,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11946,-0.057075816781882865,C8,0,4.37046271182751,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI9336,-0.05690439945164235,C8,0,3.850482222747098,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI887,-0.05680985012270504,C8,0,5.713443231452789,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI791,-0.05678169156213024,C8,0,4.789003849286025,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10256,-0.05677626048577863,C8,0,4.595392389067188,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10254,-0.05670395515103656,C8,0,11.105175275573878,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11802,-0.0566927287961312,C8,0,5.162140506112966,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI357,-0.05662148589464728,C8,0,4.6353635479797175,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI2157,-0.056526504132920305,C8,0,6.553824558006291,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11354,-0.05651455637431218,C8,0,7.805463349563399,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI5208,-0.0564508731925955,C8,0,2.331830126526406,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11918,-0.056204962512622705,C8,0,6.8426312000242735,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI608,-0.05617792731458735,C8,0,4.602472055300623,514,0.0784313725490196,0.09214466712739,0.09966777408637872,0.08742532420224391
C8_QI1410,-0.05611360771991992,C8,0,5.088037633620647,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI1514,-0.055897708966947256,C8,0,7.741224097744973,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10680,-0.05584228492753193,C8,0,7.26515368318845,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10686,-0.05582116203254865,C8,0,5.4885256654196,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI8944,-0.05575709661193725,C8,0,2.2622053325160403,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI1950,-0.05574347498658326,C8,0,9.740114877765258,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10392,-0.05572166309071229,C8,0,6.926493129160698,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10837,-0.05563949477674087,C8,0,11.00429588024238,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11801,-0.05545376897148036,C8,0,5.0455781043949575,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI1560,-0.0553617023891606,C8,0,7.250400133766862,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10726,-0.055292400199731216,C8,0,7.027538960052028,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI9990,-0.055014460669422324,C8,0,4.933596695464605,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI502,-0.05495134752549548,C8,0,7.036014890478291,514,0.09411764705882353,0.09214466712739,0.09966777408637872,0.09471076788576424
C8_QI11467,-0.05493869169364456,C8,0,4.138875508372764,514,0.10980392156862745,0.0691085003455425,0.09966777408637872,0.09471076788576424
C8_QI303,-0.0548503430549809,C8,0,7.297582990412395,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI3299,-0.05472542185626328,C8,0,9.206378800859053,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI300,-0.054695251611755216,C8,0,4.170751582913704,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11062,-0.054627322664675855,C8,0,11.57257634396749,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI1170,-0.05462135437257043,C8,0,6.192741927664496,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI1202,-0.05459680720693829,C8,0,8.106395654893525,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI2685,-0.05458750882265147,C8,0,6.226609089933718,514,0.0784313725490196,0.11518083390923751,0.09966777408637872,0.09471076788576424
C8_QI11446,-0.054301668477753313,C8,0,9.093118257225589,514,0.10980392156862745,0.09214466712739,0.09966777408637872,0.10199621156928457
C8_QI1850,-0.054298367865249345,C8,0,7.740195707205087,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10100,-0.0541946263115513,C8,0,10.882284016704507,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI487,-0.05408214307632633,C8,0,6.199964841466412,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_SM.34.1.O2,-0.0539898074320649,C8,1,3.217583765382466,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI10722,-0.05398100744740586,C8,0,8.588920684189844,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI295,-0.0537474129457714,C8,0,8.232249746297482,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI659,-0.05373108091114838,C8,0,6.409584638501918,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI2158,-0.053687131714397894,C8,0,8.630406501241342,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI1756,-0.05367338461838185,C8,0,12.70434050000911,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
